Tabelle: 45412-0025
Arrivals, overnight stays in accommodation establishments:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Länder, months;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Monthly tourism survey;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Baden-Württemberg;;;;Bayern;;;;Berlin;;;;Brandenburg;;;;Bremen;;;;Hamburg;;;;Hessen;;;;Mecklenburg-Vorpommern;;;;Niedersachsen;;;;Nordrhein-Westfalen;;;;Rheinland-Pfalz;;;;Saarland;;;;Sachsen;;;;Sachsen-Anhalt;;;;Schleswig-Holstein;;;;Thüringen;;;
;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;
;;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number
1992;January;600440;e;2217561;e;1065073;e;4259631;e;186026;e;464027;e;51415;e;170000;e;34884;e;66772;e;137738;e;256550;e;528137;e;1790868;e;60018;e;164089;e;444222;e;1408191;e;792122;e;2366744;e;242488;e;905218;e;32540;e;123004;e;119754;e;393632;e;46799;e;160887;e;121210;e;497031;e;82432;e;265369;e
;February;721432;e;2463814;e;1352802;e;5134553;e;199740;e;493109;e;58546;e;195291;e;35181;e;72539;e;154568;e;287609;e;576690;e;1890701;e;69330;e;185864;e;519236;e;1597166;e;890134;e;2557099;e;290391;e;921963;e;36237;e;128024;e;146340;e;508719;e;55604;e;188368;e;156654;e;574781;e;107066;e;344474;e
;March;813015;e;2788980;e;1360467;e;5150725;e;264394;e;661653;e;79591;e;241490;e;40173;e;83215;e;180870;e;334884;e;644862;e;2090581;e;93655;e;247390;e;626132;e;2017784;e;982292;e;2848771;e;341053;e;1129793;e;45193;e;148085;e;164176;e;508403;e;71272;e;222624;e;222864;e;892871;e;112065;e;339572;e
;April;973059;e;3363530;e;1563042;e;5647460;e;273840;e;704231;e;96801;e;290799;e;44781;e;85477;e;179175;e;327863;e;657918;e;2256691;e;150959;e;436052;e;787768;e;3062171;e;941286;e;2961365;e;449618;e;1526203;e;45188;e;155201;e;192053;e;571987;e;85339;e;255319;e;381612;e;1884181;e;134258;e;398331;e
;May;1229069;e;4079477;e;2021231;e;7078648;e;326736;e;849169;e;161073;e;464512;e;54094;e;107737;e;210131;e;388591;e;847187;e;2761562;e;263251;e;795262;e;982028;e;3628860;e;1196355;e;3493008;e;605169;e;1892421;e;55040;e;179997;e;254276;e;718866;e;112092;e;323241;e;509195;e;2451966;e;195720;e;556450;e
;June;1247792;e;4342561;e;2126365;e;8375109;e;301829;e;766278;e;209099;e;598691;e;52207;e;100199;e;191574;e;360128;e;830211;e;2765554;e;364883;e;1262985;e;1051286;e;4085355;e;1112296;e;3368735;e;605148;e;1941354;e;57833;e;185761;e;262353;e;768706;e;117586;e;341470;e;616572;e;3314318;e;213746;e;606738;e
;July;1338375;e;5144166;e;2435082;e;10593884;e;279331;e;681495;e;211419;e;828432;e;49161;e;90134;e;200503;e;375028;e;818408;e;3093290;e;552006;e;2295407;e;1107672;e;5144900;e;1030367;e;3558915;e;735705;e;2636516;e;57933;e;217047;e;225695;e;820815;e;116899;e;388839;e;783265;e;5083478;e;207882;e;704055;e
;August;1375413;e;5472421;e;2365407;e;10951731;e;296693;e;721981;e;192712;e;667635;e;51719;e;99269;e;208201;e;389079;e;866386;e;3159267;e;530515;e;2039685;e;1093521;e;5232469;e;973574;e;3523416;e;687591;e;2801503;e;49679;e;209359;e;218937;e;725021;e;109141;e;372253;e;683760;e;4660417;e;197944;e;682233;e
